Altium Designer Pick and Place Locations
D:\temp\CubeIDE\Projects\Initial_project\PCB\PCB_Project\Project Outputs for PCB_Project\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       16/11/25
Time:       22:51
Revision:   f27908865156b13b1216674b055135ae3b5833da
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U8","","TopLayer","ESP-12F","10.2880","36.2210","180","WiFi Module"
"U12","HTS221TR","TopLayer","FP-HTS221TR-MFG","68.5800","65.6590","180","SENS HUMI/TEMP 2.5V I2C 4.5% SMD"
"U10","HTS221TR","TopLayer","FP-HTS221TR-MFG","66.5600","22.4710","0","SENS HUMI/TEMP 2.5V I2C 4.5% SMD"
"R28","10KO","TopLayer","FP-CRGP0805-IPC_C","68.4530","44.4500","0","CRGP 0805 10K 1%"
"R27","1KO","TopLayer","FP-CRGCQ0805-IPC_C","59.6759","51.8160","180","CRGCQ 0805 1K0 1%"
"R26","1KO","TopLayer","FP-CRGCQ0805-IPC_C","60.1980","54.7370","180","CRGCQ 0805 1K0 1%"
"R24","10KO","TopLayer","FP-CRGP0805-IPC_C","52.8461","54.1020","0","CRGP 0805 10K 1%"
"R23","1KO","TopLayer","FP-CRGCQ0805-IPC_C","55.7389","44.0690","0","CRGCQ 0805 1K0 1%"
"R22","1KO","TopLayer","FP-CRGCQ0805-IPC_C","52.1829","21.9710","0","CRGCQ 0805 1K0 1%"
"P4","TSW-102-26-F-S","TopLayer","SMTC-TSW-102-26-XX-S","12.3190","49.6570","90","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS"
"P3","TSW-102-26-F-S","TopLayer","SMTC-TSW-102-26-XX-S","45.7200","88.7730","0","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 2-Pin, Male, RoHS"
"J22","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","72.6440","63.2460","0","CONN HEADER VERT 1POS"
"J21","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","71.3740","88.5190","0","CONN HEADER VERT 1POS"
"J20","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","65.1510","71.2470","0","CONN HEADER VERT 1POS"
"J19","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","27.5590","40.0050","0","CONN HEADER VERT 1POS"
"J18","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","70.7390","71.3740","0","CONN HEADER VERT 1POS"
"J17","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","33.9090","46.2280","0","CONN HEADER VERT 1POS"
"J16","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","95.8850","62.6110","0","CONN HEADER VERT 1POS"
"J15","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","64.1350","64.8970","0","CONN HEADER VERT 1POS"
"J14","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","85.4710","67.1830","0","CONN HEADER VERT 1POS"
"J13","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","71.3740","84.9630","0","CONN HEADER VERT 1POS"
"J12","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","37.5920","47.1170","0","CONN HEADER VERT 1POS"
"J11","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","28.3210","32.7660","0","CONN HEADER VERT 1POS"
"J10","PBC01SAAN","TopLayer","FP-PBC01SAAN-MFG","95.2500","56.7690","0","CONN HEADER VERT 1POS"
